MeterReadingID,Chave_Data,SiteID,DeviceID,Energia_kWh,Agua_m3,ReadingType
MW-000041,20240606,S-004,D-0041,545.07,2.42,instant
MW-000042,20241020,S-002,D-0036,769.59,26.91,aggregate
MW-000043,20240716,S-002,D-0014,469.72,36.09,aggregate
MW-000044,20230327,S-002,D-0029,119.94,5.72,aggregate
MW-000045,20230306,S-002,D-0042,312.47,16.72,aggregate
MW-000046,20231202,S-004,D-0004,370.73,5.02,aggregate
MW-000047,20230722,S-004,D-0032,340.58,27.37,aggregate
MW-000048,20231117,S-005,D-0011,154.38,20.84,aggregate
MW-000049,20231231,S-001,D-0039,621.79,22.22,instant
MW-000050,20230112,S-002,D-0046,1160.8,26.59,aggregate
MW-000051,20241030,S-004,D-0049,268.77,30.87,aggregate
MW-000052,20231005,S-003,D-0049,389.45,4.64,aggregate
MW-000053,20230620,S-004,D-0011,254.0,26.1,aggregate
MW-000054,20230306,S-003,D-0016,623.74,17.56,aggregate
MW-000055,20231023,S-003,D-0021,440.67,11.79,instant
MW-000056,20230128,S-004,D-0030,636.61,24.49,instant
MW-000057,20231023,S-004,D-0018,359.36,23.89,aggregate
MW-000058,20240615,S-002,D-0006,657.79,16.02,aggregate
MW-000059,20240906,S-005,D-0010,565.81,22.57,aggregate
MW-000060,20240808,S-004,D-0042,725.44,15.66,aggregate
MW-000061,20230811,S-004,D-0012,333.13,10.49,aggregate
MW-000062,20230404,S-002,D-0031,595.03,43.32,aggregate
MW-000063,20240426,S-004,D-0014,539.18,21.93,aggregate
MW-000064,20231002,S-001,D-0036,357.54,12.5,aggregate
MW-000065,20240903,S-005,D-0035,889.75,22.08,aggregate
MW-000066,20230711,S-004,D-0048,932.51,62.92,aggregate
MW-000067,20240707,S-005,D-0035,554.77,7.35,aggregate
MW-000068,20240113,S-004,D-0038,685.97,14.44,aggregate
MW-000069,20231021,S-001,D-0031,574.26,28.85,aggregate
MW-000070,20240405,S-004,D-0020,523.85,5.87,aggregate
MW-000071,20240320,S-003,D-0041,156.25,26.07,aggregate
MW-000072,20240908,S-004,D-0039,257.56,18.35,aggregate
MW-000073,20230406,S-004,D-0021,250.51,34.76,aggregate
MW-000074,20240505,S-003,D-0006,562.55,6.05,aggregate
MW-000075,20230408,S-001,D-0011,385.62,1.09,aggregate
MW-000076,20240905,S-004,D-0025,420.92,31.72,instant
MW-000077,20231227,S-001,D-0008,540.78,10.4,aggregate
MW-000078,20241021,S-004,D-0042,384.01,16.78,aggregate
MW-000079,20230112,S-002,D-0043,408.05,15.15,aggregate
MW-000080,20230902,S-004,D-0013,452.54,2.38,aggregate
MW-000081,20230423,S-002,D-0046,210.35,13.42,aggregate
MW-000082,20231102,S-002,D-0024,581.48,9.18,instant
MW-000083,20241104,S-001,D-0040,515.81,24.45,aggregate
MW-000084,20240317,S-003,D-0023,324.93,36.07,aggregate
MW-000085,20241222,S-005,D-0013,620.03,19.52,instant
MW-000086,20240610,S-003,D-0004,356.62,7.75,aggregate
MW-000087,20240827,S-002,D-0038,467.95,19.32,instant
MW-000088,20240321,S-003,D-0026,436.02,31.89,aggregate
MW-000089,20230316,S-003,D-0001,508.7,8.48,instant
MW-000090,20241104,S-004,D-0020,274.63,10.08,aggregate
MW-000091,20241127,S-001,D-0010,633.36,19.26,aggregate
MW-000092,20230409,S-003,D-0003,453.81,21.25,aggregate
MW-000093,20241107,S-004,D-0025,1106.65,29.32,aggregate
MW-000094,20240927,S-001,D-0032,552.37,30.86,aggregate
MW-000095,20231108,S-005,D-0037,569.52,9.95,aggregate
MW-000096,20240111,S-002,D-0038,252.38,13.83,aggregate
MW-000097,20240528,S-001,D-0032,433.63,19.51,aggregate
MW-000098,20231209,S-005,D-0034,394.21,24.4,instant
MW-000099,20230701,S-003,D-0047,406.89,11.31,aggregate
MW-000100,20240926,S-004,D-0021,455.35,31.8,aggregate
MW-000101,20240203,S-003,D-0038,591.03,23.65,aggregate
MW-000102,20240820,S-005,D-0016,277.4,40.03,instant
MW-000103,20230310,S-002,D-0047,594.59,9.89,aggregate
MW-000104,20230625,S-004,D-0040,178.94,17.84,aggregate
MW-000105,20231025,S-002,D-0012,279.69,3.15,aggregate
MW-000106,20241029,S-002,D-0017,560.28,18.19,aggregate
MW-000107,20241225,S-005,D-0011,376.43,27.26,instant
MW-000108,20240423,S-003,D-0021,514.22,30.22,aggregate
MW-000109,20230804,S-001,D-0016,180.81,7.15,aggregate
MW-000110,20241025,S-005,D-0013,421.38,14.76,aggregate
MW-000111,20230622,S-005,D-0023,422.52,14.8,aggregate
MW-000112,20230111,S-001,D-0022,858.92,4.95,instant
MW-000113,20240906,S-005,D-0006,304.7,13.75,aggregate
MW-000114,20230504,S-005,D-0038,452.65,31.24,aggregate
MW-000115,20240803,S-002,D-0020,316.29,18.82,aggregate
MW-000116,20241015,S-005,D-0025,432.97,16.12,aggregate
MW-000117,20231004,S-005,D-0044,138.06,56.89,aggregate
MW-000118,20231227,S-001,D-0033,196.62,16.26,aggregate
MW-000119,20241005,S-005,D-0002,652.4,24.73,aggregate
MW-000120,20230905,S-005,D-0031,77.15,4.21,aggregate
MW-000121,20230120,S-004,D-0043,574.53,17.19,aggregate
MW-000122,20241124,S-003,D-0015,374.34,18.43,aggregate
MW-000123,20240803,S-004,D-0041,582.43,24.97,aggregate
MW-000124,20241108,S-001,D-0016,1147.13,11.99,aggregate
MW-000125,20240713,S-001,D-0004,377.49,5.38,instant
MW-000126,20240731,S-005,D-0047,552.51,9.34,instant
MW-000127,20230514,S-002,D-0020,720.74,7.02,aggregate
MW-000128,20240509,S-005,D-0032,834.17,7.32,aggregate
MW-000129,20230316,S-004,D-0020,932.19,2.38,instant
MW-000130,20240404,S-003,D-0044,385.29,3.47,instant
MW-000131,20240622,S-005,D-0044,504.49,8.91,instant
MW-000132,20230827,S-004,D-0031,381.13,12.41,aggregate
MW-000133,20240527,S-002,D-0013,728.25,27.8,instant
MW-000134,20240225,S-001,D-0028,361.64,22.26,aggregate
MW-000135,20230429,S-004,D-0039,693.8,7.41,aggregate
MW-000136,20241020,S-005,D-0034,220.97,4.64,aggregate
MW-000137,20241005,S-002,D-0023,518.35,35.1,aggregate
MW-000138,20241014,S-001,D-0030,553.12,2.36,aggregate
MW-000139,20230121,S-002,D-0045,618.12,29.79,aggregate
MW-000140,20230622,S-002,D-0018,351.54,29.58,aggregate
MW-000141,20241216,S-004,D-0017,728.8,5.03,aggregate
MW-000142,20230702,S-002,D-0026,116.89,21.06,aggregate
MW-000143,20241010,S-003,D-0040,884.46,23.02,aggregate
MW-000144,20240601,S-002,D-0048,472.15,18.52,aggregate
MW-000145,20230811,S-004,D-0033,287.49,17.14,aggregate
MW-000146,20230912,S-003,D-0005,288.64,16.27,aggregate
MW-000147,20231126,S-004,D-0010,266.73,1.84,aggregate
MW-000148,20230310,S-002,D-0042,1090.19,1.84,aggregate
MW-000149,20240412,S-003,D-0022,199.42,8.09,aggregate
MW-000150,20240211,S-002,D-0027,317.23,57.69,aggregate
MW-000151,20230712,S-002,D-0027,459.65,23.41,aggregate
MW-000152,20240124,S-005,D-0010,409.08,9.28,aggregate
MW-000153,20230517,S-002,D-0028,706.66,6.63,aggregate
MW-000154,20240514,S-004,D-0042,571.69,14.02,aggregate
MW-000155,20230715,S-005,D-0028,453.5,4.55,aggregate
MW-000156,20241113,S-004,D-0046,805.12,5.93,aggregate
MW-000157,20231211,S-001,D-0045,681.29,28.97,aggregate
MW-000158,20240905,S-005,D-0023,289.27,26.45,aggregate
MW-000159,20240220,S-001,D-0027,444.95,14.43,aggregate
MW-000160,20240312,S-004,D-0004,598.23,18.74,aggregate
MW-000161,20230516,S-001,D-0006,885.53,8.9,aggregate
MW-000162,20241106,S-002,D-0024,547.13,12.5,aggregate
MW-000163,20230225,S-001,D-0019,319.8,22.09,instant
MW-000164,20241016,S-004,D-0017,326.13,19.21,aggregate
MW-000165,20240915,S-002,D-0018,357.17,29.39,instant
MW-000166,20230503,S-004,D-0039,487.66,11.88,instant
MW-000167,20230417,S-002,D-0050,216.21,24.0,instant
MW-000168,20240302,S-004,D-0028,509.47,15.76,aggregate
MW-000169,20241113,S-005,D-0037,640.91,28.76,instant
MW-000170,20231204,S-005,D-0029,464.48,24.97,aggregate
MW-000171,20240521,S-004,D-0035,416.88,30.7,aggregate
MW-000172,20231002,S-004,D-0003,211.97,13.47,aggregate
MW-000173,20231124,S-001,D-0031,546.29,28.75,aggregate
MW-000174,20231201,S-001,D-0039,557.48,3.55,aggregate
MW-000175,20240122,S-001,D-0027,270.84,4.7,aggregate
MW-000176,20240921,S-003,D-0001,488.41,22.59,aggregate
MW-000177,20230507,S-004,D-0030,952.05,41.51,instant
MW-000178,20241124,S-004,D-0012,467.46,22.09,aggregate
MW-000179,20231023,S-002,D-0021,623.55,29.66,instant
MW-000180,20231006,S-002,D-0030,589.5,19.8,aggregate
MW-000181,20240802,S-002,D-0028,636.63,8.8,aggregate
MW-000182,20230314,S-002,D-0025,697.78,10.41,aggregate
MW-000183,20230903,S-005,D-0002,696.92,20.72,aggregate
MW-000184,20230806,S-005,D-0026,297.18,45.23,aggregate
MW-000185,20230119,S-003,D-0031,806.29,29.88,aggregate
MW-000186,20241128,S-005,D-0012,605.86,2.2,instant
MW-000187,20240819,S-003,D-0011,468.92,37.59,aggregate
MW-000188,20230313,S-002,D-0003,537.51,20.69,aggregate
MW-000189,20230413,S-005,D-0033,447.15,6.27,aggregate
MW-000190,20231214,S-005,D-0022,556.51,10.36,aggregate
MW-000191,20231229,S-002,D-0039,426.45,29.77,aggregate
MW-000192,20240918,S-004,D-0001,297.45,12.9,aggregate
MW-000193,20240319,S-004,D-0009,291.63,12.8,aggregate
MW-000194,20240914,S-003,D-0006,347.54,35.55,aggregate
MW-000195,20230826,S-003,D-0028,298.23,45.79,aggregate
MW-000196,20231124,S-004,D-0043,302.16,5.96,aggregate
MW-000197,20231101,S-005,D-0048,914.49,85.39,aggregate
MW-000198,20230613,S-005,D-0033,629.33,69.8,instant
MW-000199,20240205,S-004,D-0002,579.72,13.56,aggregate
MW-000200,20231013,S-003,D-0031,518.59,66.66,instant
MW-000201,20230815,S-005,D-0006,251.92,6.53,aggregate
MW-000202,20240210,S-004,D-0022,158.95,45.09,instant
MW-000203,20240509,S-002,D-0001,514.73,12.14,aggregate
MW-000204,20231028,S-004,D-0050,410.92,12.22,aggregate
MW-000205,20240102,S-001,D-0050,234.63,14.86,aggregate
MW-000206,20240409,S-005,D-0010,997.14,2.43,aggregate
MW-000207,20230215,S-003,D-0030,644.85,1.62,aggregate
MW-000208,20231014,S-004,D-0044,375.18,9.63,aggregate
MW-000209,20241216,S-002,D-0049,1140.15,8.15,aggregate
MW-000210,20240619,S-002,D-0019,397.67,40.2,aggregate
MW-000211,20231020,S-005,D-0045,313.54,26.54,aggregate
MW-000212,20240627,S-001,D-0010,496.2,28.71,instant
MW-000213,20231120,S-001,D-0039,911.52,16.31,instant
MW-000214,20241011,S-002,D-0041,444.74,2.69,instant
MW-000215,20230610,S-001,D-0033,415.28,8.32,instant
MW-000216,20230223,S-004,D-0018,346.42,32.77,aggregate
MW-000217,20240925,S-002,D-0042,382.78,15.5,aggregate
MW-000218,20230307,S-004,D-0024,281.05,10.84,aggregate
MW-000219,20240426,S-004,D-0019,493.82,24.26,aggregate
MW-000220,20230123,S-002,D-0023,549.08,13.1,instant
MW-000221,20241117,S-004,D-0035,428.86,23.68,aggregate
MW-000222,20240213,S-004,D-0026,429.31,26.71,instant
MW-000223,20240208,S-005,D-0013,1036.02,13.88,instant
MW-000224,20231026,S-003,D-0031,210.13,12.41,aggregate
MW-000225,20240317,S-002,D-0013,322.68,20.87,aggregate
MW-000226,20231116,S-001,D-0012,350.44,9.23,aggregate
MW-000227,20240509,S-002,D-0008,309.81,22.59,aggregate
MW-000228,20240211,S-005,D-0039,280.07,15.32,aggregate
MW-000229,20240111,S-004,D-0020,735.19,18.87,instant
MW-000230,20241014,S-005,D-0024,528.67,14.37,aggregate
MW-000231,20230120,S-004,D-0045,199.86,51.19,aggregate
MW-000232,20231103,S-002,D-0006,621.47,23.55,aggregate
MW-000233,20230815,S-001,D-0008,318.92,37.85,aggregate
MW-000234,20230509,S-002,D-0008,119.86,9.87,aggregate
MW-000235,20230119,S-001,D-0027,761.49,43.05,aggregate
MW-000236,20230513,S-004,D-0024,795.69,14.35,aggregate
MW-000237,20240122,S-001,D-0022,570.22,21.16,aggregate
MW-000238,20230522,S-004,D-0028,909.44,1.45,instant
MW-000239,20240123,S-003,D-0005,306.57,34.64,aggregate
MW-000240,20230927,S-005,D-0026,223.83,40.42,aggregate
MW-000241,20241127,S-005,D-0036,466.47,7.34,aggregate
MW-000242,20240331,S-001,D-0041,343.35,16.3,aggregate
MW-000243,20241005,S-005,D-0029,315.09,17.5,aggregate
MW-000244,20230320,S-004,D-0043,246.86,17.19,aggregate
MW-000245,20240116,S-003,D-0043,499.87,9.71,aggregate
MW-000246,20240617,S-003,D-0050,498.22,8.35,instant
MW-000247,20230615,S-003,D-0007,704.53,18.89,instant
MW-000248,20230617,S-003,D-0015,826.15,7.46,aggregate
MW-000249,20240127,S-002,D-0037,356.99,16.15,aggregate
MW-000250,20240902,S-002,D-0020,576.69,9.8,aggregate
MW-000251,20240222,S-005,D-0041,615.62,29.03,aggregate
MW-000252,20240910,S-004,D-0042,481.59,7.18,aggregate
MW-000253,20240426,S-002,D-0024,747.55,19.75,aggregate
MW-000254,20240706,S-002,D-0041,196.27,31.37,aggregate
MW-000255,20230204,S-002,D-0003,354.43,17.26,aggregate
MW-000256,20230629,S-005,D-0005,1018.76,24.82,aggregate
MW-000257,20240124,S-004,D-0046,655.16,22.33,instant
MW-000258,20240605,S-002,D-0031,436.23,53.08,aggregate
MW-000259,20230610,S-002,D-0049,581.27,45.18,instant
MW-000260,20241031,S-004,D-0043,555.53,4.23,aggregate
MW-000261,20240407,S-004,D-0009,338.84,25.33,aggregate
MW-000262,20240529,S-005,D-0037,114.95,48.06,instant
MW-000263,20241003,S-003,D-0042,181.87,12.84,instant
MW-000264,20240317,S-003,D-0015,742.42,41.23,aggregate
MW-000265,20241008,S-005,D-0041,502.37,7.83,instant
MW-000266,20240222,S-002,D-0039,370.25,11.91,aggregate
MW-000267,20240606,S-004,D-0021,901.8,20.55,aggregate
MW-000268,20230119,S-001,D-0021,583.53,25.81,instant
MW-000269,20241011,S-002,D-0050,525.32,14.08,instant
MW-000270,20230818,S-005,D-0039,554.74,13.95,instant
MW-000271,20240818,S-005,D-0011,222.42,11.99,instant
MW-000272,20231030,S-001,D-0006,477.05,3.69,instant
MW-000273,20230418,S-002,D-0021,457.49,12.27,aggregate
MW-000274,20240207,S-001,D-0001,170.48,21.5,aggregate
MW-000275,20240202,S-004,D-0019,441.22,17.7,aggregate
MW-000276,20240323,S-003,D-0002,628.62,23.96,aggregate
MW-000277,20230113,S-001,D-0035,329.3,34.16,instant
MW-000278,20231203,S-005,D-0022,309.15,21.71,aggregate
MW-000279,20240321,S-003,D-0038,462.27,14.83,aggregate
MW-000280,20240428,S-005,D-0004,907.36,17.28,instant
MW-000281,20230602,S-004,D-0035,856.83,10.76,aggregate
MW-000282,20231225,S-002,D-0022,426.49,7.63,aggregate
MW-000283,20240310,S-005,D-0016,549.53,6.14,aggregate
MW-000284,20230421,S-001,D-0026,391.79,9.56,aggregate
MW-000285,20230131,S-002,D-0048,202.15,21.28,aggregate
MW-000286,20230219,S-002,D-0048,553.89,18.83,aggregate
MW-000287,20230918,S-001,D-0039,420.41,22.29,aggregate
MW-000288,20241217,S-003,D-0025,445.4,13.82,aggregate
MW-000289,20241008,S-005,D-0011,565.2,18.18,aggregate
MW-000290,20240312,S-002,D-0024,631.48,50.31,aggregate
MW-000291,20231101,S-003,D-0003,305.55,10.12,aggregate
MW-000292,20231214,S-002,D-0016,214.5,8.51,aggregate
MW-000293,20230724,S-002,D-0046,398.36,30.77,aggregate
MW-000294,20240302,S-002,D-0005,624.3,14.65,aggregate
MW-000295,20230828,S-001,D-0006,575.93,3.16,aggregate
MW-000296,20231217,S-003,D-0048,692.89,20.99,instant
MW-000297,20240128,S-005,D-0016,407.16,5.48,aggregate
MW-000298,20230531,S-002,D-0037,387.67,32.49,instant
MW-000299,20230206,S-004,D-0042,458.74,5.84,aggregate
MW-000300,20240703,S-001,D-0012,332.14,16.76,aggregate
MW-000301,20230521,S-005,D-0045,131.36,72.47,aggregate
MW-000302,20230521,S-003,D-0048,552.27,12.22,instant
MW-000303,20230713,S-004,D-0043,760.95,16.13,aggregate
MW-000304,20231117,S-002,D-0012,369.0,25.3,aggregate
MW-000305,20240212,S-003,D-0046,674.86,13.97,aggregate
MW-000306,20230505,S-003,D-0030,307.16,31.36,instant
MW-000307,20240602,S-003,D-0018,509.56,32.7,aggregate
MW-000308,20231228,S-002,D-0014,451.97,51.67,aggregate
MW-000309,20231223,S-003,D-0001,752.18,18.45,aggregate
MW-000310,20241109,S-005,D-0029,862.94,17.9,aggregate
MW-000311,20230816,S-003,D-0040,428.2,14.63,aggregate
MW-000312,20241013,S-003,D-0011,617.0,11.58,instant
MW-000313,20240730,S-005,D-0026,407.67,11.76,aggregate
MW-000314,20230517,S-005,D-0002,587.73,11.67,aggregate
MW-000315,20240721,S-004,D-0047,285.73,24.21,aggregate
MW-000316,20240512,S-002,D-0005,564.93,22.14,aggregate
MW-000317,20240704,S-001,D-0015,374.56,1.2,aggregate
MW-000318,20240115,S-005,D-0022,564.08,12.93,aggregate
MW-000319,20241103,S-004,D-0011,601.55,16.28,aggregate
MW-000320,20231216,S-003,D-0023,232.72,29.91,instant
MW-000321,20230106,S-001,D-0047,528.59,25.47,instant
MW-000322,20231106,S-002,D-0036,455.23,12.41,aggregate
MW-000323,20240703,S-002,D-0041,457.4,3.12,aggregate
MW-000324,20240214,S-004,D-0039,755.41,1.64,aggregate
MW-000325,20230221,S-004,D-0022,486.8,14.12,instant
MW-000326,20240403,S-003,D-0024,1019.71,15.47,instant
MW-000327,20240805,S-001,D-0010,345.96,26.64,aggregate
MW-000328,20230115,S-004,D-0014,321.29,24.77,instant
MW-000329,20240201,S-001,D-0042,204.37,6.73,aggregate
MW-000330,20240213,S-004,D-0004,399.57,24.43,aggregate
MW-000331,20230214,S-005,D-0002,358.31,21.99,aggregate
MW-000332,20240704,S-002,D-0002,1082.77,38.31,aggregate
MW-000333,20230308,S-002,D-0035,496.63,4.93,aggregate
MW-000334,20240823,S-002,D-0042,750.88,10.97,aggregate
MW-000335,20241028,S-001,D-0044,236.67,41.12,aggregate
MW-000336,20241029,S-004,D-0045,497.9,54.11,aggregate
MW-000337,20240502,S-003,D-0049,533.17,49.43,aggregate
MW-000338,20230615,S-005,D-0009,315.62,17.83,aggregate
MW-000339,20240715,S-005,D-0026,258.96,35.14,instant
MW-000340,20240701,S-002,D-0050,627.8,5.25,aggregate
MW-000341,20240818,S-003,D-0034,400.94,13.58,aggregate
MW-000342,20240604,S-002,D-0021,294.99,17.76,aggregate
MW-000343,20241221,S-005,D-0001,340.45,21.98,aggregate
MW-000344,20230104,S-005,D-0026,307.7,5.7,instant
MW-000345,20230812,S-001,D-0022,455.75,40.76,aggregate
MW-000346,20240420,S-004,D-0041,462.32,4.74,aggregate
MW-000347,20230226,S-005,D-0040,381.66,15.53,aggregate
MW-000348,20231107,S-005,D-0047,600.05,16.71,aggregate
MW-000349,20231112,S-001,D-0006,472.96,26.0,instant
MW-000350,20230629,S-001,D-0035,779.67,21.13,aggregate
MW-000351,20230623,S-001,D-0015,434.73,5.13,aggregate
MW-000352,20230721,S-003,D-0009,440.52,22.01,instant
MW-000353,20230907,S-003,D-0044,625.29,18.01,aggregate
MW-000354,20230525,S-001,D-0026,369.49,16.43,aggregate
MW-000355,20230810,S-004,D-0022,144.01,14.58,aggregate
MW-000356,20230605,S-004,D-0007,606.3,31.76,instant
MW-000357,20230714,S-001,D-0010,946.69,15.26,aggregate
MW-000358,20230526,S-002,D-0038,406.97,11.99,aggregate
MW-000359,20230519,S-004,D-0049,500.97,6.88,aggregate
MW-000360,20230328,S-003,D-0027,490.99,25.27,aggregate
MW-000361,20230728,S-001,D-0039,203.03,40.32,aggregate
MW-000362,20241001,S-003,D-0019,368.7,47.35,instant
MW-000363,20230813,S-005,D-0011,313.34,36.88,aggregate
MW-000364,20240131,S-003,D-0018,1339.29,66.81,aggregate
MW-000365,20240627,S-004,D-0027,438.76,29.08,aggregate
MW-000366,20230711,S-002,D-0031,1153.47,17.99,aggregate
MW-000367,20231031,S-005,D-0004,468.01,9.23,aggregate
MW-000368,20240211,S-001,D-0034,1281.61,21.03,aggregate
MW-000369,20241109,S-003,D-0023,679.96,27.12,aggregate
MW-000370,20230718,S-001,D-0034,927.85,0.5,aggregate
MW-000371,20240826,S-001,D-0027,679.45,20.75,aggregate
MW-000372,20241009,S-001,D-0044,1041.76,49.73,aggregate
MW-000373,20241010,S-003,D-0036,1569.15,23.26,instant
MW-000374,20230104,S-004,D-0048,650.67,17.87,instant
MW-000375,20231015,S-002,D-0009,306.27,31.04,aggregate
MW-000376,20241218,S-004,D-0007,638.77,49.09,instant
MW-000377,20240116,S-003,D-0020,337.83,37.29,aggregate
MW-000378,20240429,S-004,D-0008,213.51,5.61,aggregate
MW-000379,20241109,S-005,D-0017,329.58,4.29,instant
MW-000380,20241230,S-004,D-0003,504.55,12.31,aggregate
MW-000381,20231115,S-005,D-0001,196.14,41.94,aggregate
MW-000382,20231120,S-004,D-0026,226.74,10.15,aggregate
MW-000383,20231108,S-001,D-0018,318.67,6.26,instant
MW-000384,20230617,S-003,D-0039,291.79,8.52,aggregate
MW-000385,20240604,S-004,D-0014,175.83,9.01,aggregate
MW-000386,20230511,S-004,D-0020,663.77,20.2,instant
MW-000387,20240330,S-002,D-0007,567.64,14.8,aggregate
MW-000388,20230623,S-004,D-0012,696.27,10.22,instant
MW-000389,20241219,S-005,D-0047,459.24,17.5,aggregate
MW-000390,20230329,S-005,D-0036,268.47,17.22,aggregate
MW-000391,20240425,S-005,D-0034,622.83,7.61,instant
MW-000392,20240829,S-005,D-0021,686.42,6.18,instant
MW-000393,20240125,S-005,D-0043,478.32,10.48,aggregate
MW-000394,20230217,S-004,D-0042,823.64,17.46,aggregate
MW-000395,20230807,S-003,D-0027,454.04,5.92,instant
MW-000396,20231231,S-001,D-0004,658.99,10.43,aggregate
MW-000397,20240406,S-002,D-0046,727.36,10.86,instant
MW-000398,20240501,S-005,D-0010,443.21,17.65,aggregate
MW-000399,20241201,S-003,D-0042,635.8,15.05,aggregate
MW-000400,20240622,S-004,D-0001,495.7,18.38,aggregate
MW-000401,20230509,S-003,D-0022,248.87,38.54,aggregate
MW-000402,20230106,S-005,D-0028,642.54,2.62,instant
MW-000403,20240118,S-004,D-0028,390.5,5.99,aggregate
MW-000404,20230417,S-005,D-0030,368.33,5.78,aggregate
MW-000405,20241218,S-005,D-0050,508.04,23.75,aggregate
MW-000406,20240721,S-004,D-0045,761.41,10.9,aggregate
MW-000407,20231217,S-002,D-0040,785.85,4.89,aggregate
MW-000408,20231214,S-005,D-0031,688.42,10.32,instant
MW-000409,20240709,S-003,D-0027,467.78,20.21,aggregate
MW-000410,20241203,S-003,D-0036,190.54,19.08,aggregate
MW-000411,20240329,S-004,D-0001,267.62,15.95,aggregate
MW-000412,20231222,S-004,D-0014,512.46,6.69,aggregate
MW-000413,20241116,S-003,D-0027,443.88,20.33,aggregate
MW-000414,20231207,S-003,D-0014,396.23,20.89,aggregate
MW-000415,20230809,S-004,D-0012,328.91,20.79,aggregate
MW-000416,20230210,S-002,D-0019,609.43,16.1,instant
MW-000417,20240823,S-005,D-0030,643.41,24.14,aggregate
MW-000418,20230528,S-002,D-0040,808.42,20.77,aggregate
MW-000419,20230219,S-005,D-0037,583.89,22.87,aggregate
MW-000420,20230902,S-001,D-0031,788.85,20.23,aggregate
MW-000421,20240405,S-002,D-0002,839.46,2.16,aggregate
MW-000422,20230421,S-001,D-0004,388.83,7.36,aggregate
MW-000423,20230115,S-002,D-0044,294.07,2.7,aggregate
MW-000424,20231228,S-001,D-0036,902.99,29.98,aggregate
MW-000425,20231021,S-002,D-0045,146.84,46.25,aggregate
MW-000426,20240212,S-002,D-0010,328.19,4.36,aggregate
MW-000427,20230329,S-002,D-0001,615.58,25.81,aggregate
MW-000428,20240716,S-002,D-0028,317.84,9.98,aggregate
MW-000429,20240928,S-002,D-0024,647.94,22.36,instant
MW-000430,20230531,S-001,D-0034,778.42,4.36,aggregate
MW-000431,20240131,S-005,D-0047,411.04,8.0,aggregate
MW-000432,20241003,S-002,D-0012,170.21,10.6,aggregate
MW-000433,20230824,S-005,D-0001,436.88,35.3,aggregate
MW-000434,20240727,S-002,D-0018,542.35,20.79,instant
MW-000435,20240505,S-003,D-0039,570.09,12.19,instant
MW-000436,20230615,S-003,D-0018,297.44,13.93,aggregate
MW-000437,20240224,S-002,D-0025,370.66,3.03,aggregate
MW-000438,20240114,S-003,D-0037,1102.5,24.08,instant
MW-000439,20240308,S-003,D-0048,321.29,26.09,aggregate
