FinanceID,Chave_Data,SiteID,CAPEX_ESG,OPEX_ESG,SavingsEstimate,RevenueImpactEstimate
FIN-000052,20241129,S-005,31978.01,6400.21,47074.2,1573.08
FIN-000053,20230502,S-002,22857.84,1554.68,38388.17,15983.84
FIN-000054,20240425,S-003,66861.08,3233.03,16936.28,20216.82
FIN-000055,20230920,S-001,11295.7,2054.23,3178.51,27699.85
FIN-000056,20231029,S-002,81154.56,19575.83,13029.09,27463.85
FIN-000057,20230516,S-003,20698.04,1241.42,22791.71,17465.03
FIN-000058,20230624,S-003,87708.62,12072.24,33202.42,431.94
FIN-000059,20230901,S-005,68881.43,2608.36,1564.25,19342.91
FIN-000060,20241207,S-005,34494.2,3146.1,46976.9,173.45
FIN-000061,20230619,S-002,29160.1,3447.55,42002.47,10850.84
FIN-000062,20240519,S-004,81291.2,7319.1,9425.45,15053.87
FIN-000063,20230113,S-005,50812.12,1891.56,40530.68,4560.37
FIN-000064,20230122,S-002,99812.07,3937.16,22996.64,13516.95
FIN-000065,20240923,S-003,51920.16,10351.79,5794.65,21742.2
FIN-000066,20240127,S-003,78810.94,14112.43,13646.5,15574.84
FIN-000067,20240820,S-002,53154.6,12679.24,9026.35,23511.68
FIN-000068,20240603,S-005,51917.29,5672.16,15638.86,15344.1
FIN-000069,20241228,S-002,82274.49,5661.7,15601.6,21606.9
FIN-000070,20230226,S-002,80424.97,9169.45,31573.23,16473.91
FIN-000071,20240503,S-001,23495.59,9353.6,36669.11,17437.19
FIN-000072,20230424,S-004,90289.87,6876.63,24413.53,25846.89
FIN-000073,20240823,S-002,15325.18,19926.73,26431.66,16198.25
FIN-000074,20240807,S-003,81659.43,1598.7,22196.24,18450.14
FIN-000075,20231208,S-002,52582.4,8004.93,31480.72,12416.81
FIN-000076,20240309,S-002,62893.24,16845.01,34627.95,4688.15
FIN-000077,20240706,S-003,53349.24,15273.04,31802.1,3974.41
FIN-000078,20230205,S-005,16403.04,18301.89,32842.68,27779.58
FIN-000079,20230118,S-002,36815.83,13081.04,33995.43,18156.94
FIN-000080,20230226,S-004,84630.87,7229.7,40998.06,10881.11
FIN-000081,20230911,S-004,20106.18,18419.47,42248.32,20726.5
FIN-000082,20230522,S-005,96053.21,5116.24,36766.87,14779.11
FIN-000083,20240127,S-001,49104.63,14580.92,30397.16,21911.7
FIN-000084,20240528,S-004,12099.97,2328.0,2260.69,16842.2
FIN-000085,20230523,S-003,84178.87,17996.57,40678.03,29230.76
FIN-000086,20240901,S-001,13173.4,4400.31,16151.99,18041.2
FIN-000087,20230122,S-003,48283.2,2268.86,19026.44,1776.88
FIN-000088,20241030,S-002,76602.69,19743.34,13002.6,16764.47
FIN-000089,20230930,S-002,59508.98,6863.8,13261.33,27033.24
FIN-000090,20241111,S-004,71211.54,16201.24,14456.7,29837.73
FIN-000091,20230130,S-004,48545.47,16808.18,40000.59,12322.88
FIN-000092,20240719,S-001,87565.74,14932.57,8239.9,18673.32
FIN-000093,20240605,S-001,38972.01,12262.37,11453.47,2879.83
FIN-000094,20230128,S-002,13350.54,3151.28,48875.9,24561.36
FIN-000095,20231210,S-003,27877.81,9863.56,48153.68,15618.86
FIN-000096,20241231,S-002,98727.22,16554.58,4280.2,583.81
FIN-000097,20240806,S-003,47930.97,2449.7,15247.19,3250.9
FIN-000098,20241222,S-005,38439.31,4499.66,33338.02,23216.87
FIN-000099,20231125,S-003,23317.0,10928.85,48191.96,16607.09
FIN-000100,20230718,S-005,55314.85,13263.23,39238.16,23713.04
FIN-000101,20230902,S-002,84756.15,1397.61,46513.9,4428.64
FIN-000102,20240310,S-005,39955.97,11239.53,8441.21,7123.72
FIN-000103,20240607,S-005,57891.55,2317.37,40194.99,11004.57
FIN-000104,20231104,S-002,11583.93,1935.73,16137.76,7800.74
FIN-000105,20230910,S-002,75312.07,17723.25,31961.38,13548.23
FIN-000106,20240410,S-004,50083.48,6386.55,39826.21,8623.97
FIN-000107,20240119,S-002,68153.01,12119.82,28278.24,29535.58
FIN-000108,20230401,S-004,23254.58,16930.88,48031.65,15427.7
FIN-000109,20230220,S-003,19448.95,2190.45,27545.24,6529.25
FIN-000110,20231214,S-004,92919.68,19453.83,21381.83,7981.06
FIN-000111,20240607,S-004,92508.59,15811.89,38641.54,5792.04
FIN-000112,20241110,S-004,25495.24,3750.5,22564.05,13215.75
FIN-000113,20230203,S-001,49195.98,3856.19,37811.72,13636.65
FIN-000114,20240919,S-001,70231.96,16864.34,3452.84,29908.11
FIN-000115,20230916,S-001,79654.06,17249.71,5337.51,23676.98
FIN-000116,20230105,S-001,62114.02,7521.41,23704.68,18201.19
FIN-000117,20230823,S-003,68673.47,4313.32,21563.42,9391.64
FIN-000118,20241111,S-004,96082.39,16595.14,35737.2,1035.24
FIN-000119,20240112,S-004,76550.97,13351.05,42130.87,223.25
FIN-000120,20230915,S-002,52839.03,3842.33,11112.51,25716.06
FIN-000121,20240211,S-001,76807.96,10256.77,7626.69,17029.49
FIN-000122,20230208,S-003,55024.52,16641.62,31324.5,7673.39
FIN-000123,20230718,S-005,30415.95,9904.28,33228.11,1974.94
FIN-000124,20230925,S-005,95420.53,9694.31,35829.85,13421.85
FIN-000125,20230620,S-002,70395.37,5174.4,49714.18,11449.92
FIN-000126,20240203,S-001,82637.65,19088.45,45622.83,29152.94
FIN-000127,20241227,S-004,17572.83,6814.76,18612.26,21701.61
FIN-000128,20240315,S-004,93115.69,13884.84,10879.35,23660.35
FIN-000129,20240716,S-003,15297.83,18421.11,33169.46,23208.97
FIN-000130,20231111,S-005,57480.73,14617.77,45878.31,14345.57
FIN-000131,20230503,S-004,70034.22,16670.91,15804.54,11158.78
FIN-000132,20231226,S-003,25118.77,7279.62,27135.14,12589.05
FIN-000133,20240713,S-005,31815.79,18227.34,23787.22,21630.11
FIN-000134,20240210,S-001,51099.04,11723.64,18440.74,12497.74
FIN-000135,20240113,S-002,68611.65,11488.27,15695.3,10653.5
FIN-000136,20240906,S-003,17224.23,13865.56,10005.94,14904.57
FIN-000137,20241217,S-005,86722.81,8083.29,13890.61,28343.48
FIN-000138,20230610,S-002,34796.44,11658.84,687.21,27767.33
FIN-000139,20231014,S-005,80655.12,16171.83,6790.3,5147.96
FIN-000140,20240416,S-001,61048.09,10044.47,43167.75,9421.69
FIN-000141,20240719,S-002,49648.58,2957.06,28173.41,7036.7
FIN-000142,20241217,S-001,68259.18,1465.83,7535.13,21767.75
FIN-000143,20240105,S-001,80728.08,6674.39,16474.99,9167.18
FIN-000144,20230520,S-003,27529.35,7545.8,4928.48,25693.0
FIN-000145,20240223,S-001,57939.18,15829.93,39719.78,5875.95
FIN-000146,20230914,S-001,24435.88,15878.25,41344.73,17864.16
FIN-000147,20230324,S-003,30550.27,12159.99,5516.23,3637.34
FIN-000148,20240913,S-005,24704.1,7033.51,35994.78,1603.85
FIN-000149,20231201,S-004,96594.76,16010.2,15165.26,28164.2
FIN-000150,20240201,S-001,58562.73,8299.44,49858.45,2391.8
FIN-000151,20230822,S-004,86935.56,2988.38,17148.81,1219.82
FIN-000152,20241105,S-004,36443.46,18313.34,34076.9,4244.5
FIN-000153,20230430,S-004,21889.91,3467.43,34743.64,19986.24
FIN-000154,20240904,S-003,52733.74,8813.7,12919.12,14552.06
FIN-000155,20230223,S-001,77224.59,4644.06,48265.36,2931.4
FIN-000156,20230415,S-003,77036.1,5359.22,39836.06,19776.05
FIN-000157,20241007,S-005,82162.26,19406.59,29751.99,25688.18
FIN-000158,20231117,S-005,95910.79,3568.5,19322.88,12320.22
FIN-000159,20241028,S-005,88983.31,4378.07,40557.85,10097.23
FIN-000160,20241229,S-004,75555.09,16936.21,46989.21,16589.31
FIN-000161,20240602,S-001,18517.63,11929.12,27168.96,3106.19
FIN-000162,20240316,S-003,38842.9,9205.07,35956.02,7899.75
FIN-000163,20230911,S-001,81921.2,15394.71,30658.7,10502.42
FIN-000164,20230702,S-001,21335.92,4141.65,26479.27,21170.7
FIN-000165,20240327,S-001,13085.02,10589.66,8055.65,22632.01
FIN-000166,20230408,S-003,92464.46,11682.76,39591.21,8491.77
FIN-000167,20241118,S-002,73726.6,5213.82,17721.95,926.8
FIN-000168,20240726,S-001,46404.04,16669.62,36755.71,8804.17
FIN-000169,20240228,S-003,86437.67,2449.91,33976.14,6752.24
FIN-000170,20231112,S-001,80600.04,10524.75,31163.48,17156.0
FIN-000171,20230326,S-004,77815.35,8770.53,38134.74,28707.18
FIN-000172,20230616,S-001,31602.59,4556.15,38093.49,1188.21
FIN-000173,20230131,S-005,29306.54,10016.63,10415.23,27158.62
FIN-000174,20230404,S-001,41771.54,1337.66,26724.65,19242.08
FIN-000175,20230527,S-002,41419.24,11078.54,23330.76,13239.83
FIN-000176,20230716,S-003,79104.59,19486.46,45762.27,14309.85
FIN-000177,20240713,S-003,44294.55,1497.54,25809.69,3879.51
FIN-000178,20231021,S-005,19594.91,18429.26,49898.59,28758.34
FIN-000179,20230322,S-004,18811.57,11364.59,1367.22,13057.8
FIN-000180,20230218,S-003,93117.51,3715.27,38486.37,2854.41
FIN-000181,20240604,S-003,59726.3,1792.64,30680.69,10763.98
FIN-000182,20240115,S-004,81319.17,4768.27,30760.64,13793.58
FIN-000183,20230219,S-003,18808.05,12101.62,41083.45,3190.66
FIN-000184,20230203,S-004,92116.26,18151.55,5529.18,15452.69
FIN-000185,20240422,S-005,40246.2,14303.98,39631.58,9802.3
FIN-000186,20241126,S-001,66854.14,11746.04,24952.82,10991.18
FIN-000187,20230704,S-005,81444.05,12447.6,19492.16,10710.99
FIN-000188,20241029,S-005,44748.76,19474.87,19045.91,1083.0
FIN-000189,20241113,S-003,81028.25,18029.86,47586.28,7418.79
FIN-000190,20230814,S-001,79292.54,2808.59,33777.3,8535.67
FIN-000191,20240405,S-002,86509.11,3636.19,47962.2,9600.75
FIN-000192,20230706,S-005,76539.35,10859.93,14978.18,18545.24
FIN-000193,20230709,S-003,54111.23,9296.18,7170.91,9302.34
FIN-000194,20231230,S-002,19296.63,1128.8,35542.22,16788.89
FIN-000195,20230113,S-005,61008.85,11438.91,43532.7,19645.58
FIN-000196,20230930,S-003,17849.66,6743.36,11438.22,16065.58
FIN-000197,20241214,S-004,57410.41,16009.19,15679.57,17978.27
FIN-000198,20240512,S-001,52049.64,19446.41,45975.36,27987.85
FIN-000199,20240320,S-005,86384.01,5061.62,30752.05,3211.48
FIN-000200,20230616,S-004,19956.5,12775.23,508.93,21172.77
FIN-000201,20231128,S-002,94552.66,8582.23,36552.3,23852.7
FIN-000202,20230427,S-004,79923.1,10085.46,16152.54,9615.03
FIN-000203,20231122,S-003,88747.26,9094.02,39057.25,19315.15
FIN-000204,20230728,S-003,96260.84,17152.6,9682.81,7114.4
FIN-000205,20230224,S-002,74926.54,13689.72,44761.32,6198.9
FIN-000206,20231008,S-003,44788.72,2200.65,37613.51,2114.51
FIN-000207,20240211,S-002,76930.16,6696.68,44256.7,17993.16
FIN-000208,20230819,S-005,90150.59,1714.44,7515.1,10372.06
FIN-000209,20230612,S-005,68206.57,9262.68,16864.2,22165.19
FIN-000210,20240502,S-002,64988.8,1519.43,47740.0,18331.63
FIN-000211,20231116,S-001,22233.82,11815.18,26396.2,14910.71
FIN-000212,20240321,S-001,63224.4,7568.6,36262.75,23599.42
FIN-000213,20231105,S-002,92503.76,9340.77,1891.44,28349.98
FIN-000214,20231104,S-003,17204.43,15032.77,3668.46,3183.34
FIN-000215,20230307,S-002,48649.74,8655.42,40948.42,8531.3
FIN-000216,20230729,S-001,16233.98,19792.46,20613.4,886.16
FIN-000217,20240501,S-002,48571.44,2285.29,41494.91,11345.73
FIN-000218,20230319,S-002,38025.11,12247.22,10027.96,28995.52
FIN-000219,20241217,S-002,83591.17,16374.84,44479.41,5263.91
FIN-000220,20240507,S-002,89957.45,12786.79,25543.08,28412.33
FIN-000221,20230324,S-003,65101.48,19176.9,22924.79,3878.44
FIN-000222,20240724,S-002,96078.38,7834.72,42769.79,23996.66
FIN-000223,20231113,S-004,57802.41,15941.35,14251.46,8425.92
FIN-000224,20240616,S-004,19169.77,14498.76,4902.91,9966.69
FIN-000225,20230415,S-002,65994.23,4795.73,42323.85,10584.86
FIN-000226,20230120,S-004,46476.0,19861.06,14495.71,14556.3
FIN-000227,20240712,S-002,10040.9,3152.75,36865.51,12428.33
FIN-000228,20241128,S-004,11003.74,16206.22,826.57,1990.64
FIN-000229,20230713,S-002,80716.91,8474.52,45455.69,16050.54
FIN-000230,20240617,S-001,67459.47,17445.97,12728.13,24192.22
FIN-000231,20230914,S-003,94801.16,13192.63,14296.46,11802.03
FIN-000232,20230304,S-001,95722.74,3914.24,4367.83,22428.76
FIN-000233,20230513,S-002,71644.85,7238.53,38314.25,16153.47
FIN-000234,20230825,S-003,80218.94,10064.76,35469.51,19456.38
FIN-000235,20230723,S-004,89942.43,2964.34,47033.59,17752.4
FIN-000236,20240914,S-004,42445.41,7627.21,45763.46,10290.56
FIN-000237,20230226,S-003,85964.96,11969.66,24434.67,26363.03
FIN-000238,20231126,S-003,17464.5,4279.98,45156.21,3275.95
FIN-000239,20230416,S-003,50544.81,17179.4,43662.41,11698.18
FIN-000240,20231107,S-004,41242.43,5268.84,28147.76,986.16
FIN-000241,20241128,S-005,95692.17,12423.75,44711.79,4337.02
FIN-000242,20240310,S-004,76977.64,10265.5,22376.47,298.55
FIN-000243,20230210,S-003,34953.9,13818.48,33167.43,11488.04
FIN-000244,20230801,S-003,90203.97,7630.55,19871.06,6443.72
FIN-000245,20241220,S-005,33911.28,11489.84,44487.25,852.18
FIN-000246,20240615,S-003,79236.6,8522.0,20844.59,8147.55
FIN-000247,20230228,S-005,71051.24,9614.59,46405.08,25471.55
FIN-000248,20230317,S-001,92273.28,3353.23,24976.46,11946.73
FIN-000249,20241214,S-003,60984.21,4701.67,49776.41,14155.67
FIN-000250,20230119,S-002,62408.59,16305.83,6362.53,1331.63
FIN-000251,20240711,S-001,98438.85,10047.55,21351.88,5190.22
FIN-000252,20230810,S-003,12482.77,8713.27,10216.59,21957.9
FIN-000253,20240625,S-004,26001.86,12591.18,36874.65,28788.51
FIN-000254,20230626,S-002,80579.63,13666.83,28037.69,22023.79
FIN-000255,20240719,S-004,57884.49,14538.65,14696.24,14000.73
FIN-000256,20230506,S-004,59592.39,16138.78,19426.66,18922.56
FIN-000257,20230422,S-005,18149.72,7175.73,37161.94,25368.95
FIN-000258,20240908,S-004,66417.68,13746.57,11838.03,16365.45
FIN-000259,20240516,S-002,95779.69,1795.34,8882.36,23762.03
FIN-000260,20230920,S-001,14664.38,3645.86,4125.23,19326.01
FIN-000261,20230925,S-005,15875.04,3758.4,9548.77,18215.02
FIN-000262,20240531,S-005,12768.05,8613.88,11808.71,12190.98
FIN-000263,20240513,S-001,44546.66,17288.67,28902.51,21777.09
FIN-000264,20230307,S-004,68717.5,18704.67,5552.76,26208.39
FIN-000265,20240712,S-001,41281.02,10475.02,10021.68,14989.95
FIN-000266,20230325,S-004,85828.12,13387.33,30568.92,21487.17
FIN-000267,20240509,S-004,53523.9,8264.0,43130.31,6366.62
FIN-000268,20230504,S-002,28733.59,16929.55,10933.68,9997.04
FIN-000269,20230519,S-002,78683.16,1701.19,5966.16,12473.66
FIN-000270,20230419,S-001,38479.59,2756.88,10780.13,4881.06
FIN-000271,20230701,S-003,66392.89,3525.13,34993.04,15175.37
FIN-000272,20241103,S-002,42658.6,12963.99,1170.12,15142.73
FIN-000273,20230827,S-001,31203.15,3103.46,24219.43,22734.64
FIN-000274,20240604,S-002,72224.46,19701.52,10697.85,29213.5
FIN-000275,20230628,S-002,79458.22,9458.62,35517.11,11816.11
FIN-000276,20230716,S-002,91600.32,6101.22,27550.55,29402.62
FIN-000277,20240408,S-004,95363.27,15423.57,32985.56,6437.97
FIN-000278,20230716,S-001,45746.97,11644.55,2698.28,10605.32
FIN-000279,20240225,S-002,19523.51,2679.91,32867.12,23543.82
FIN-000280,20240407,S-005,79376.26,16826.17,39849.8,6752.31
FIN-000281,20240826,S-005,48240.39,8753.37,17084.91,16413.13
FIN-000282,20230525,S-002,28690.35,11572.89,49192.12,18343.18
FIN-000283,20240730,S-002,10272.07,14941.0,2455.33,4366.59
FIN-000284,20241103,S-002,84751.6,7923.27,7293.85,5305.9
FIN-000285,20230722,S-001,50106.08,1574.12,30931.55,9108.25
FIN-000286,20240209,S-003,22090.82,18823.12,12932.54,6824.87
FIN-000287,20241017,S-001,34931.85,12780.57,42319.29,27064.41
FIN-000288,20230104,S-005,99226.87,4729.11,49713.05,836.42
FIN-000289,20230725,S-003,97035.09,17947.61,13076.3,25316.39
FIN-000290,20240331,S-004,51437.25,19267.67,17136.39,18145.76
FIN-000291,20241220,S-001,76881.45,9459.26,13203.94,26976.87
FIN-000292,20240907,S-004,20131.08,18048.08,20484.97,22757.6
FIN-000293,20230410,S-003,83036.96,15998.91,3581.14,22878.73
FIN-000294,20230428,S-004,86313.53,6816.86,46878.3,1115.37
FIN-000295,20231225,S-002,31405.21,14697.25,30169.98,17845.16
FIN-000296,20240126,S-005,87380.78,17453.0,30455.33,8891.33
FIN-000297,20240828,S-004,11419.47,11241.27,33517.09,15887.8
FIN-000298,20230628,S-005,99976.19,8098.96,34561.43,19001.03
FIN-000299,20240306,S-003,82480.63,19740.78,38669.56,4414.83
FIN-000300,20240714,S-003,54430.43,3407.57,25803.34,16802.8
FIN-000301,20240312,S-001,54752.31,17038.53,44032.41,15135.91
FIN-000302,20230816,S-002,48218.59,2001.69,7997.83,27631.25
FIN-000303,20230612,S-003,97292.04,4050.88,31398.59,1821.9
FIN-000304,20230718,S-005,41627.38,3803.44,10826.69,6235.5
FIN-000305,20230714,S-004,14642.52,8790.59,41030.98,2897.17
FIN-000306,20240918,S-004,28151.09,16418.81,42827.66,24803.77
FIN-000307,20241219,S-004,74393.65,17508.74,3034.88,25224.52
FIN-000308,20241112,S-003,19961.5,11952.31,37888.22,3570.23
FIN-000309,20230204,S-001,55893.03,5626.22,18396.4,16862.72
FIN-000310,20240916,S-001,37437.79,4548.06,22778.47,13203.62
FIN-000311,20241029,S-004,40918.33,18120.37,34270.09,12990.75
FIN-000312,20230504,S-004,65320.83,7053.64,24939.9,27447.44
FIN-000313,20230311,S-005,66183.96,11393.25,3094.67,18825.21
FIN-000314,20240922,S-002,86205.65,11637.19,30939.08,8126.31
FIN-000315,20231119,S-001,23204.95,18060.37,33808.03,13534.85
FIN-000316,20230425,S-003,78234.9,12355.74,49610.99,14341.29
FIN-000317,20240301,S-001,81817.82,5365.86,29162.25,1941.89
FIN-000318,20231208,S-002,37633.67,1334.43,6424.06,26153.7
FIN-000319,20230131,S-005,68846.52,8446.91,9585.35,3623.7
FIN-000320,20231123,S-003,13253.38,19476.82,38888.24,17855.89
FIN-000321,20240509,S-001,52871.1,18938.12,32512.11,12643.55
FIN-000322,20230309,S-005,30317.92,3210.84,41942.48,28519.77
FIN-000323,20230604,S-005,99687.99,7780.01,19237.91,24763.6
FIN-000324,20240623,S-004,68002.76,18501.2,10748.27,13646.22
FIN-000325,20240702,S-001,76422.63,2297.67,20032.32,9096.38
FIN-000326,20241016,S-002,45712.07,7676.81,36747.99,9941.27
FIN-000327,20230519,S-003,35356.37,8266.2,49623.07,26022.17
FIN-000328,20240616,S-003,37173.37,15074.26,3347.5,27551.23
FIN-000329,20240503,S-001,66209.93,13331.75,6101.88,90.91
FIN-000330,20231015,S-003,10670.77,11463.25,1897.69,17164.11
FIN-000331,20230805,S-001,75097.31,15292.63,17265.54,4410.11
FIN-000332,20240310,S-004,96521.92,5207.05,27507.88,28661.02
FIN-000333,20240318,S-005,23786.55,10874.6,9037.31,15823.87
FIN-000334,20240715,S-002,42368.58,7137.71,5522.56,29116.42
FIN-000335,20231229,S-001,75254.49,16304.08,32797.63,20191.71
FIN-000336,20240218,S-002,65337.3,8719.71,17111.31,26514.14
FIN-000337,20241217,S-002,75083.81,17441.75,2551.29,28480.36
FIN-000338,20230826,S-005,69093.12,19350.19,30866.51,23710.52
FIN-000339,20240506,S-004,63479.76,2169.65,3279.13,15376.88
FIN-000340,20240803,S-001,95277.63,14374.63,35174.93,16628.45
FIN-000341,20230525,S-004,52045.95,3456.88,28419.38,16989.04
FIN-000342,20230920,S-003,44392.28,5836.65,29371.21,24420.08
FIN-000343,20240626,S-003,10956.36,3254.24,32153.11,7918.96
FIN-000344,20230328,S-005,24326.38,12104.32,34904.77,29227.12
FIN-000345,20230713,S-003,83709.96,10711.83,22221.43,9149.35
FIN-000346,20240622,S-002,26684.14,3529.56,25594.51,17040.78
FIN-000347,20231021,S-004,64079.92,18454.16,15157.66,9619.4
FIN-000348,20240516,S-003,30557.94,14716.21,14522.25,20250.85
FIN-000349,20241218,S-001,96834.49,8362.73,35495.31,10839.4
FIN-000350,20230419,S-002,76260.26,15192.13,38648.54,28036.51
FIN-000351,20231023,S-002,27996.2,14856.86,23858.46,12380.81
FIN-000352,20230313,S-005,52033.17,18741.43,3978.65,9712.68
FIN-000353,20240524,S-001,72582.34,1786.78,9728.34,6157.55
FIN-000354,20231224,S-002,84128.07,18696.63,18724.88,5218.32
FIN-000355,20230101,S-005,42203.79,12109.57,38833.35,1110.0
FIN-000356,20231110,S-005,21173.69,8809.42,32044.35,23075.97
FIN-000357,20240321,S-003,92750.47,8738.48,1007.19,4075.5
FIN-000358,20241211,S-003,11924.47,5646.67,17390.71,27484.64
FIN-000359,20240304,S-003,64243.66,3480.14,42408.28,5759.66
FIN-000360,20241224,S-002,31076.49,12416.49,40361.36,23259.75
FIN-000361,20241014,S-001,62645.83,11791.57,19653.74,4552.61
FIN-000362,20241102,S-004,19840.71,2591.07,4266.68,15902.92
FIN-000363,20230816,S-004,89711.75,17929.37,48474.27,12353.88
FIN-000364,20240610,S-002,87202.35,14402.41,4980.9,12166.15
FIN-000365,20240922,S-003,99036.83,19849.18,33031.57,22143.02
FIN-000366,20230218,S-005,96474.12,3017.25,6032.39,893.7
FIN-000367,20241106,S-002,86422.05,14503.57,32580.24,22895.74
FIN-000368,20240715,S-005,29318.72,13089.31,44831.65,16623.83
FIN-000369,20241223,S-002,49445.0,2618.51,6370.66,27982.55
FIN-000370,20240209,S-001,51231.14,10758.51,42105.37,14838.38
FIN-000371,20240618,S-003,85664.97,19903.31,43745.6,15244.61
FIN-000372,20230113,S-004,90633.71,7208.42,40363.36,20302.56
FIN-000373,20230510,S-005,72552.21,16079.13,30310.06,7937.1
FIN-000374,20240825,S-001,70831.89,18981.41,19618.62,4829.26
FIN-000375,20230814,S-001,91089.96,1551.81,30506.34,6175.52
FIN-000376,20240315,S-005,71724.3,9904.37,21096.52,26763.62
FIN-000377,20240114,S-002,73923.36,5325.43,8105.88,18863.68
FIN-000378,20241208,S-003,24037.08,16165.8,9506.92,5365.37
FIN-000379,20240801,S-005,12131.19,11032.94,4629.93,19976.17
FIN-000380,20241129,S-004,54319.76,5279.61,17934.68,6725.74
FIN-000381,20230125,S-002,69521.22,13540.76,28595.54,21916.75
FIN-000382,20240623,S-002,11808.06,13132.09,22837.0,2817.97
FIN-000383,20241128,S-003,25212.99,12912.54,3188.75,17894.57
FIN-000384,20230518,S-004,72962.39,6947.34,10579.63,17876.74
FIN-000385,20240814,S-003,44293.7,6196.97,17962.71,5803.27
FIN-000386,20240729,S-003,52710.53,2346.61,35357.21,23021.65
FIN-000387,20240312,S-001,56721.22,4880.97,49244.68,26672.26
FIN-000388,20241220,S-004,19086.82,6005.4,4792.4,14144.38
FIN-000389,20230629,S-001,77867.56,12842.93,7077.66,20334.35
FIN-000390,20230721,S-001,49351.72,15388.98,45775.76,6192.9
FIN-000391,20230924,S-001,93522.99,8758.7,48215.16,9222.85
FIN-000392,20230312,S-001,36888.71,17524.99,30827.03,6043.95
FIN-000393,20230311,S-005,75930.7,8916.35,18659.29,27581.36
FIN-000394,20230418,S-001,94310.29,2022.66,2016.77,25126.07
FIN-000395,20240602,S-002,30009.93,18765.55,42444.75,29018.5
FIN-000396,20230804,S-002,20112.08,6474.81,42456.46,21171.9
FIN-000397,20230212,S-001,50367.66,15608.96,28300.95,5277.34
