ID_Emissao,Chave_Data,SiteID,SourceID,Scope,CO2_kg,ActivityMetric,UnitOfMeasure,CategoriaEmissao
EM-000033,20230708,S-001,SRC-01,3,191.54,127.42,kWh,Cadeia de Valor / Transporte
EM-000034,20240218,S-003,SRC-02,2,175.54,366.72,kWh,Energia Elétrica
EM-000035,20230822,S-002,SRC-03,2,196.64,291.94,kWh,Energia Elétrica
EM-000036,20230703,S-001,SRC-02,3,69.92,43.26,kWh,Cadeia de Valor / Transporte
EM-000037,20230901,S-004,SRC-03,2,89.15,398.74,kWh,Energia Elétrica
EM-000038,20240510,S-001,SRC-01,1,77.61,286.75,kWh,Combustão Direta
EM-000039,20240508,S-002,SRC-01,3,138.71,490.02,kWh,Cadeia de Valor / Transporte
EM-000040,20241013,S-002,SRC-04,2,100.16,94.82,kWh,Energia Elétrica
EM-000041,20241010,S-002,SRC-02,2,140.95,97.28,kWh,Energia Elétrica
EM-000042,20230725,S-001,SRC-04,1,150.84,237.99,kWh,Combustão Direta
EM-000043,20230328,S-002,SRC-04,1,66.4,321.85,kWh,Combustão Direta
EM-000044,20241105,S-005,SRC-01,3,32.13,252.57,kWh,Cadeia de Valor / Transporte
EM-000045,20230905,S-004,SRC-02,2,62.07,89.91,kWh,Energia Elétrica
EM-000046,20240124,S-005,SRC-04,1,40.04,304.08,kWh,Combustão Direta
EM-000047,20230622,S-003,SRC-03,1,159.1,395.62,kWh,Combustão Direta
EM-000048,20230402,S-001,SRC-04,1,69.1,380.93,kWh,Combustão Direta
EM-000049,20240430,S-001,SRC-04,2,209.63,404.24,kWh,Energia Elétrica
EM-000050,20240820,S-001,SRC-02,1,46.52,116.75,kWh,Combustão Direta
EM-000051,20230313,S-005,SRC-04,1,154.72,77.39,kWh,Combustão Direta
EM-000052,20240107,S-004,SRC-04,2,125.45,44.19,kWh,Energia Elétrica
EM-000053,20240904,S-004,SRC-01,3,119.41,143.27,kWh,Cadeia de Valor / Transporte
EM-000054,20240216,S-004,SRC-03,1,75.61,242.02,kWh,Combustão Direta
EM-000055,20240306,S-003,SRC-02,2,118.29,169.3,kWh,Energia Elétrica
EM-000056,20231013,S-002,SRC-04,2,74.57,379.91,kWh,Energia Elétrica
EM-000057,20230725,S-003,SRC-04,1,9.38,444.43,kWh,Combustão Direta
EM-000058,20231116,S-005,SRC-04,1,37.77,180.63,kWh,Combustão Direta
EM-000059,20230525,S-002,SRC-03,3,161.05,281.87,kWh,Cadeia de Valor / Transporte
EM-000060,20230727,S-001,SRC-02,2,201.02,11.43,kWh,Energia Elétrica
EM-000061,20240809,S-005,SRC-02,1,36.36,173.76,kWh,Combustão Direta
EM-000062,20240102,S-005,SRC-01,2,54.54,287.31,kWh,Energia Elétrica
EM-000063,20240202,S-004,SRC-02,1,63.16,375.74,kWh,Combustão Direta
EM-000064,20240716,S-001,SRC-04,1,32.62,261.63,kWh,Combustão Direta
EM-000065,20230208,S-002,SRC-01,1,18.65,403.81,kWh,Combustão Direta
EM-000066,20240306,S-004,SRC-03,1,34.54,392.45,kWh,Combustão Direta
EM-000067,20230212,S-004,SRC-01,3,61.03,473.32,kWh,Cadeia de Valor / Transporte
EM-000068,20231006,S-005,SRC-04,2,44.72,244.17,kWh,Energia Elétrica
EM-000069,20241107,S-002,SRC-01,2,37.92,60.77,kWh,Energia Elétrica
EM-000070,20240829,S-005,SRC-03,3,90.67,302.43,kWh,Cadeia de Valor / Transporte
EM-000071,20230901,S-003,SRC-01,2,74.65,414.83,kWh,Energia Elétrica
EM-000072,20230609,S-004,SRC-04,1,80.56,414.09,kWh,Combustão Direta
EM-000073,20240601,S-002,SRC-02,2,80.34,164.92,kWh,Energia Elétrica
EM-000074,20240703,S-001,SRC-02,3,107.94,224.12,kWh,Cadeia de Valor / Transporte
EM-000075,20230326,S-003,SRC-02,2,119.22,461.47,kWh,Energia Elétrica
EM-000076,20230303,S-001,SRC-03,1,146.33,12.05,kWh,Combustão Direta
EM-000077,20230630,S-002,SRC-04,1,182.19,86.28,kWh,Combustão Direta
EM-000078,20240119,S-004,SRC-03,1,52.29,107.83,kWh,Combustão Direta
EM-000079,20230119,S-002,SRC-03,3,55.22,390.16,kWh,Cadeia de Valor / Transporte
EM-000080,20240315,S-004,SRC-04,1,249.14,422.46,kWh,Combustão Direta
EM-000081,20240212,S-002,SRC-04,3,103.99,395.63,kWh,Cadeia de Valor / Transporte
EM-000082,20241023,S-004,SRC-03,3,41.73,105.99,kWh,Cadeia de Valor / Transporte
EM-000083,20231013,S-001,SRC-01,2,54.31,361.56,kWh,Energia Elétrica
EM-000084,20230918,S-005,SRC-02,2,82.35,479.09,kWh,Energia Elétrica
EM-000085,20230617,S-001,SRC-02,3,139.97,348.4,kWh,Cadeia de Valor / Transporte
EM-000086,20240924,S-004,SRC-01,2,97.05,279.48,kWh,Energia Elétrica
EM-000087,20241212,S-003,SRC-03,2,133.13,336.71,kWh,Energia Elétrica
EM-000088,20240126,S-005,SRC-01,3,68.7,98.34,kWh,Cadeia de Valor / Transporte
EM-000089,20241217,S-001,SRC-01,3,169.4,173.35,kWh,Cadeia de Valor / Transporte
EM-000090,20240902,S-004,SRC-03,1,92.27,163.6,kWh,Combustão Direta
EM-000091,20240604,S-003,SRC-04,1,169.15,49.91,kWh,Combustão Direta
EM-000092,20240627,S-004,SRC-03,3,46.05,288.96,kWh,Cadeia de Valor / Transporte
EM-000093,20241204,S-001,SRC-02,2,114.76,498.26,kWh,Energia Elétrica
EM-000094,20230323,S-003,SRC-04,1,37.25,298.89,kWh,Combustão Direta
EM-000095,20240903,S-002,SRC-04,2,47.95,410.44,kWh,Energia Elétrica
EM-000096,20230627,S-002,SRC-02,2,34.92,312.46,kWh,Energia Elétrica
EM-000097,20231007,S-004,SRC-03,2,137.05,487.75,kWh,Energia Elétrica
EM-000098,20241108,S-002,SRC-01,2,35.53,445.22,kWh,Energia Elétrica
EM-000099,20240118,S-001,SRC-01,1,86.19,64.86,kWh,Combustão Direta
EM-000100,20230215,S-005,SRC-02,1,192.26,353.78,kWh,Combustão Direta
EM-000101,20240220,S-002,SRC-03,2,145.3,461.32,kWh,Energia Elétrica
EM-000102,20230328,S-001,SRC-01,1,97.17,135.58,kWh,Combustão Direta
EM-000103,20230923,S-005,SRC-02,3,28.34,192.33,kWh,Cadeia de Valor / Transporte
EM-000104,20240322,S-002,SRC-04,3,160.96,291.45,kWh,Cadeia de Valor / Transporte
EM-000105,20241002,S-002,SRC-03,1,325.61,65.03,kWh,Combustão Direta
EM-000106,20241205,S-004,SRC-04,1,36.54,470.72,kWh,Combustão Direta
EM-000107,20240528,S-004,SRC-04,3,153.73,380.86,kWh,Cadeia de Valor / Transporte
EM-000108,20231018,S-005,SRC-04,2,313.6,142.84,kWh,Energia Elétrica
EM-000109,20230622,S-005,SRC-02,2,150.23,112.5,kWh,Energia Elétrica
EM-000110,20240118,S-001,SRC-04,2,26.52,372.99,kWh,Energia Elétrica
EM-000111,20231231,S-003,SRC-02,1,30.29,14.71,kWh,Combustão Direta
EM-000112,20230519,S-001,SRC-04,1,5.09,84.53,kWh,Combustão Direta
EM-000113,20240811,S-003,SRC-03,1,28.59,458.79,kWh,Combustão Direta
EM-000114,20230106,S-003,SRC-01,1,67.33,427.47,kWh,Combustão Direta
EM-000115,20240119,S-002,SRC-02,1,5.21,355.46,kWh,Combustão Direta
EM-000116,20230911,S-003,SRC-04,1,242.01,267.6,kWh,Combustão Direta
EM-000117,20230629,S-003,SRC-03,1,120.46,56.78,kWh,Combustão Direta
EM-000118,20230517,S-003,SRC-04,1,12.61,405.6,kWh,Combustão Direta
EM-000119,20240828,S-001,SRC-04,1,122.82,31.03,kWh,Combustão Direta
EM-000120,20230625,S-001,SRC-01,3,45.41,400.62,kWh,Cadeia de Valor / Transporte
EM-000121,20230607,S-002,SRC-03,2,167.47,125.14,kWh,Energia Elétrica
EM-000122,20231109,S-001,SRC-04,3,138.14,321.98,kWh,Cadeia de Valor / Transporte
EM-000123,20240210,S-003,SRC-04,2,84.74,373.89,kWh,Energia Elétrica
EM-000124,20240926,S-002,SRC-04,1,46.28,359.71,kWh,Combustão Direta
EM-000125,20241002,S-003,SRC-04,3,73.25,35.55,kWh,Cadeia de Valor / Transporte
EM-000126,20240204,S-005,SRC-02,2,326.37,281.29,kWh,Energia Elétrica
EM-000127,20240705,S-001,SRC-04,2,74.49,67.07,kWh,Energia Elétrica
EM-000128,20240919,S-003,SRC-01,2,68.37,385.67,kWh,Energia Elétrica
EM-000129,20241208,S-001,SRC-03,1,44.21,421.99,kWh,Combustão Direta
EM-000130,20231130,S-004,SRC-03,1,72.13,324.14,kWh,Combustão Direta
EM-000131,20240301,S-003,SRC-02,2,35.71,434.65,kWh,Energia Elétrica
EM-000132,20240212,S-001,SRC-04,1,43.14,248.41,kWh,Combustão Direta
EM-000133,20230930,S-003,SRC-02,1,148.69,59.84,kWh,Combustão Direta
EM-000134,20240928,S-003,SRC-03,2,149.58,365.24,kWh,Energia Elétrica
EM-000135,20230820,S-001,SRC-04,1,68.75,494.75,kWh,Combustão Direta
EM-000136,20230812,S-005,SRC-01,2,48.29,215.41,kWh,Energia Elétrica
EM-000137,20230618,S-003,SRC-01,3,33.49,30.53,kWh,Cadeia de Valor / Transporte
EM-000138,20240910,S-005,SRC-03,2,42.73,179.22,kWh,Energia Elétrica
EM-000139,20240202,S-004,SRC-04,1,45.19,31.77,kWh,Combustão Direta
EM-000140,20240906,S-004,SRC-04,1,49.25,229.97,kWh,Combustão Direta
EM-000141,20230124,S-001,SRC-04,1,27.46,254.33,kWh,Combustão Direta
EM-000142,20240307,S-004,SRC-02,2,46.1,383.27,kWh,Energia Elétrica
EM-000143,20231216,S-003,SRC-04,3,41.83,92.75,kWh,Cadeia de Valor / Transporte
EM-000144,20230512,S-003,SRC-01,1,36.82,376.78,kWh,Combustão Direta
EM-000145,20240423,S-003,SRC-01,3,62.36,483.35,kWh,Cadeia de Valor / Transporte
EM-000146,20230320,S-003,SRC-04,1,60.32,253.49,kWh,Combustão Direta
EM-000147,20240815,S-001,SRC-04,3,107.35,285.84,kWh,Cadeia de Valor / Transporte
EM-000148,20240725,S-002,SRC-03,1,70.53,364.45,kWh,Combustão Direta
EM-000149,20231017,S-002,SRC-02,2,225.51,232.18,kWh,Energia Elétrica
EM-000150,20241231,S-003,SRC-03,3,136.75,145.74,kWh,Cadeia de Valor / Transporte
EM-000151,20240428,S-001,SRC-01,2,126.24,337.29,kWh,Energia Elétrica
EM-000152,20230626,S-005,SRC-03,3,184.24,132.48,kWh,Cadeia de Valor / Transporte
EM-000153,20240829,S-001,SRC-03,1,73.4,466.31,kWh,Combustão Direta
EM-000154,20230718,S-001,SRC-02,1,77.55,101.21,kWh,Combustão Direta
EM-000155,20240106,S-003,SRC-03,3,62.36,162.89,kWh,Cadeia de Valor / Transporte
EM-000156,20240104,S-001,SRC-03,1,81.46,380.17,kWh,Combustão Direta
EM-000157,20230215,S-003,SRC-03,3,141.67,384.24,kWh,Cadeia de Valor / Transporte
EM-000158,20230302,S-003,SRC-03,3,79.13,450.4,kWh,Cadeia de Valor / Transporte
EM-000159,20230511,S-001,SRC-04,2,52.69,413.44,kWh,Energia Elétrica
EM-000160,20231116,S-001,SRC-02,3,109.66,421.12,kWh,Cadeia de Valor / Transporte
EM-000161,20240630,S-005,SRC-01,2,111.85,153.64,kWh,Energia Elétrica
EM-000162,20240227,S-001,SRC-04,1,89.0,34.23,kWh,Combustão Direta
EM-000163,20240402,S-003,SRC-02,2,77.76,128.36,kWh,Energia Elétrica
EM-000164,20241206,S-005,SRC-04,2,153.19,495.12,kWh,Energia Elétrica
EM-000165,20230118,S-002,SRC-02,2,31.44,356.65,kWh,Energia Elétrica
EM-000166,20230105,S-003,SRC-01,3,13.94,182.55,kWh,Cadeia de Valor / Transporte
EM-000167,20240909,S-004,SRC-01,2,196.42,116.09,kWh,Energia Elétrica
EM-000168,20230520,S-004,SRC-03,2,455.05,237.45,kWh,Energia Elétrica
EM-000169,20241013,S-001,SRC-03,3,124.59,92.13,kWh,Cadeia de Valor / Transporte
EM-000170,20230304,S-001,SRC-04,1,20.69,426.85,kWh,Combustão Direta
EM-000171,20241110,S-002,SRC-02,2,108.38,226.25,kWh,Energia Elétrica
EM-000172,20230107,S-003,SRC-02,2,97.47,134.71,kWh,Energia Elétrica
EM-000173,20230105,S-003,SRC-01,2,144.11,222.8,kWh,Energia Elétrica
EM-000174,20230608,S-004,SRC-04,1,124.43,409.9,kWh,Combustão Direta
EM-000175,20230508,S-002,SRC-03,1,103.0,380.2,kWh,Combustão Direta
EM-000176,20230614,S-002,SRC-04,2,31.06,155.97,kWh,Energia Elétrica
EM-000177,20230824,S-002,SRC-02,3,45.52,367.24,kWh,Cadeia de Valor / Transporte
EM-000178,20241103,S-003,SRC-01,2,43.31,260.57,kWh,Energia Elétrica
EM-000179,20240418,S-005,SRC-04,2,47.8,311.91,kWh,Energia Elétrica
EM-000180,20241117,S-002,SRC-03,1,85.48,108.15,kWh,Combustão Direta
EM-000181,20231107,S-005,SRC-03,2,168.14,363.11,kWh,Energia Elétrica
EM-000182,20230410,S-002,SRC-03,3,79.33,458.4,kWh,Cadeia de Valor / Transporte
EM-000183,20230913,S-005,SRC-02,2,69.27,236.86,kWh,Energia Elétrica
EM-000184,20241013,S-005,SRC-02,2,66.93,439.5,kWh,Energia Elétrica
EM-000185,20241024,S-004,SRC-02,2,88.4,450.73,kWh,Energia Elétrica
EM-000186,20230122,S-003,SRC-02,1,91.13,366.05,kWh,Combustão Direta
EM-000187,20240228,S-001,SRC-02,1,15.94,366.8,kWh,Combustão Direta
EM-000188,20231017,S-002,SRC-01,2,163.6,256.3,kWh,Energia Elétrica
EM-000189,20241205,S-004,SRC-03,1,104.86,272.94,kWh,Combustão Direta
EM-000190,20231127,S-003,SRC-02,1,62.58,382.6,kWh,Combustão Direta
EM-000191,20230811,S-001,SRC-04,1,148.36,216.39,kWh,Combustão Direta
EM-000192,20240509,S-003,SRC-03,1,106.73,439.71,kWh,Combustão Direta
EM-000193,20230512,S-003,SRC-03,1,258.26,475.34,kWh,Combustão Direta
EM-000194,20230918,S-004,SRC-03,2,262.17,271.24,kWh,Energia Elétrica
EM-000195,20240903,S-005,SRC-02,1,122.05,452.15,kWh,Combustão Direta
EM-000196,20230326,S-001,SRC-04,2,176.61,20.38,kWh,Energia Elétrica
EM-000197,20240830,S-005,SRC-04,2,165.57,25.58,kWh,Energia Elétrica
EM-000198,20240727,S-001,SRC-03,2,34.26,399.68,kWh,Energia Elétrica
EM-000199,20240906,S-005,SRC-04,3,53.07,93.54,kWh,Cadeia de Valor / Transporte
EM-000200,20230914,S-001,SRC-02,2,214.68,347.92,kWh,Energia Elétrica
EM-000201,20230502,S-001,SRC-01,3,53.46,169.07,kWh,Cadeia de Valor / Transporte
EM-000202,20230107,S-005,SRC-02,2,118.82,237.84,kWh,Energia Elétrica
EM-000203,20240129,S-005,SRC-03,2,43.3,33.64,kWh,Energia Elétrica
EM-000204,20230512,S-002,SRC-01,2,266.01,117.64,kWh,Energia Elétrica
EM-000205,20240728,S-002,SRC-01,1,212.52,423.41,kWh,Combustão Direta
EM-000206,20240613,S-004,SRC-01,2,186.27,165.29,kWh,Energia Elétrica
EM-000207,20231004,S-001,SRC-01,1,101.67,175.32,kWh,Combustão Direta
EM-000208,20231017,S-005,SRC-04,1,103.89,175.99,kWh,Combustão Direta
EM-000209,20240208,S-001,SRC-02,3,151.8,139.9,kWh,Cadeia de Valor / Transporte
EM-000210,20240918,S-005,SRC-03,3,157.56,184.31,kWh,Cadeia de Valor / Transporte
EM-000211,20240305,S-005,SRC-03,1,179.38,74.11,kWh,Combustão Direta
EM-000212,20241118,S-003,SRC-01,2,74.41,131.75,kWh,Energia Elétrica
EM-000213,20230412,S-004,SRC-04,3,61.09,100.46,kWh,Cadeia de Valor / Transporte
EM-000214,20240211,S-005,SRC-03,2,147.2,42.7,kWh,Energia Elétrica
EM-000215,20241020,S-001,SRC-02,2,82.42,408.41,kWh,Energia Elétrica
EM-000216,20240930,S-003,SRC-04,1,82.73,33.59,kWh,Combustão Direta
EM-000217,20230314,S-003,SRC-02,1,127.59,54.73,kWh,Combustão Direta
EM-000218,20240708,S-003,SRC-02,1,100.82,492.08,kWh,Combustão Direta
EM-000219,20240519,S-003,SRC-04,2,303.59,495.4,kWh,Energia Elétrica
EM-000220,20230205,S-002,SRC-04,3,59.22,60.52,kWh,Cadeia de Valor / Transporte
EM-000221,20230418,S-003,SRC-03,3,44.83,491.49,kWh,Cadeia de Valor / Transporte
EM-000222,20240721,S-005,SRC-01,1,78.08,325.96,kWh,Combustão Direta
EM-000223,20240523,S-002,SRC-01,2,61.08,459.31,kWh,Energia Elétrica
EM-000224,20230208,S-003,SRC-03,1,46.56,425.38,kWh,Combustão Direta
EM-000225,20230325,S-002,SRC-04,2,158.37,386.12,kWh,Energia Elétrica
EM-000226,20240926,S-004,SRC-04,1,119.46,52.57,kWh,Combustão Direta
EM-000227,20240929,S-002,SRC-04,2,10.84,149.59,kWh,Energia Elétrica
EM-000228,20240730,S-003,SRC-01,2,14.54,34.99,kWh,Energia Elétrica
EM-000229,20241103,S-005,SRC-02,2,14.66,289.41,kWh,Energia Elétrica
EM-000230,20241209,S-004,SRC-03,2,82.65,41.87,kWh,Energia Elétrica
EM-000231,20230130,S-001,SRC-03,1,105.94,146.29,kWh,Combustão Direta
EM-000232,20241027,S-005,SRC-04,3,41.3,339.39,kWh,Cadeia de Valor / Transporte
EM-000233,20240630,S-005,SRC-03,3,19.74,119.87,kWh,Cadeia de Valor / Transporte
EM-000234,20230311,S-001,SRC-02,2,89.71,400.75,kWh,Energia Elétrica
EM-000235,20230918,S-005,SRC-04,2,84.28,272.76,kWh,Energia Elétrica
EM-000236,20230418,S-001,SRC-03,2,40.15,251.35,kWh,Energia Elétrica
EM-000237,20231023,S-002,SRC-04,3,36.49,114.35,kWh,Cadeia de Valor / Transporte
EM-000238,20231115,S-002,SRC-03,2,28.87,124.32,kWh,Energia Elétrica
EM-000239,20231208,S-002,SRC-02,2,28.41,433.9,kWh,Energia Elétrica
EM-000240,20230709,S-001,SRC-03,2,256.76,231.61,kWh,Energia Elétrica
EM-000241,20230424,S-004,SRC-03,2,36.99,217.6,kWh,Energia Elétrica
EM-000242,20240804,S-004,SRC-04,2,118.45,123.18,kWh,Energia Elétrica
EM-000243,20240419,S-004,SRC-02,3,141.89,127.79,kWh,Cadeia de Valor / Transporte
EM-000244,20240314,S-004,SRC-03,1,3.94,226.22,kWh,Combustão Direta
EM-000245,20241007,S-001,SRC-04,1,28.08,267.07,kWh,Combustão Direta
EM-000246,20240422,S-004,SRC-01,3,57.02,177.21,kWh,Cadeia de Valor / Transporte
EM-000247,20241031,S-001,SRC-03,2,29.87,149.82,kWh,Energia Elétrica
EM-000248,20240904,S-002,SRC-02,1,49.46,216.5,kWh,Combustão Direta
EM-000249,20231106,S-004,SRC-04,1,128.57,487.66,kWh,Combustão Direta
EM-000250,20230522,S-005,SRC-01,3,148.55,207.16,kWh,Cadeia de Valor / Transporte
EM-000251,20241002,S-002,SRC-01,1,126.9,303.9,kWh,Combustão Direta
EM-000252,20240613,S-003,SRC-02,1,33.9,422.94,kWh,Combustão Direta
EM-000253,20231011,S-002,SRC-04,2,75.98,190.98,kWh,Energia Elétrica
EM-000254,20240630,S-002,SRC-04,2,413.28,63.47,kWh,Energia Elétrica
EM-000255,20230511,S-004,SRC-02,1,101.62,178.62,kWh,Combustão Direta
EM-000256,20241203,S-005,SRC-02,2,70.06,22.68,kWh,Energia Elétrica
EM-000257,20230703,S-004,SRC-01,1,87.12,448.08,kWh,Combustão Direta
EM-000258,20230107,S-003,SRC-03,1,180.02,372.26,kWh,Combustão Direta
EM-000259,20240910,S-003,SRC-04,2,50.17,195.89,kWh,Energia Elétrica
EM-000260,20240123,S-004,SRC-01,2,44.73,232.91,kWh,Energia Elétrica
EM-000261,20240420,S-005,SRC-04,1,66.29,18.76,kWh,Combustão Direta
EM-000262,20230520,S-004,SRC-04,2,136.69,493.77,kWh,Energia Elétrica
EM-000263,20230303,S-004,SRC-01,1,156.17,465.74,kWh,Combustão Direta
EM-000264,20230316,S-005,SRC-02,1,50.32,449.32,kWh,Combustão Direta
EM-000265,20230610,S-004,SRC-01,1,79.29,363.07,kWh,Combustão Direta
EM-000266,20241223,S-002,SRC-04,2,78.75,128.88,kWh,Energia Elétrica
EM-000267,20241116,S-001,SRC-01,1,89.97,327.4,kWh,Combustão Direta
EM-000268,20230515,S-001,SRC-02,2,45.83,183.0,kWh,Energia Elétrica
EM-000269,20240107,S-003,SRC-04,1,242.46,392.6,kWh,Combustão Direta
EM-000270,20230924,S-001,SRC-03,1,269.93,498.33,kWh,Combustão Direta
EM-000271,20230418,S-005,SRC-04,3,53.31,193.38,kWh,Cadeia de Valor / Transporte
EM-000272,20230530,S-005,SRC-02,3,200.89,181.67,kWh,Cadeia de Valor / Transporte
EM-000273,20241130,S-005,SRC-02,2,30.36,181.63,kWh,Energia Elétrica
EM-000274,20230225,S-003,SRC-01,1,63.01,425.43,kWh,Combustão Direta
EM-000275,20241210,S-003,SRC-04,1,27.84,212.75,kWh,Combustão Direta
EM-000276,20231016,S-003,SRC-02,2,189.11,435.02,kWh,Energia Elétrica
EM-000277,20231001,S-001,SRC-04,2,92.77,204.47,kWh,Energia Elétrica
EM-000278,20240629,S-002,SRC-03,2,25.31,31.41,kWh,Energia Elétrica
EM-000279,20240608,S-002,SRC-03,1,287.65,264.14,kWh,Combustão Direta
EM-000280,20230503,S-004,SRC-02,2,125.45,99.72,kWh,Energia Elétrica
EM-000281,20231104,S-002,SRC-02,2,150.45,59.59,kWh,Energia Elétrica
EM-000282,20230102,S-005,SRC-03,1,32.1,301.81,kWh,Combustão Direta
EM-000283,20240101,S-002,SRC-01,2,105.78,95.51,kWh,Energia Elétrica
EM-000284,20230827,S-004,SRC-03,2,32.67,184.8,kWh,Energia Elétrica
EM-000285,20240604,S-002,SRC-04,3,38.78,287.79,kWh,Cadeia de Valor / Transporte
EM-000286,20240929,S-002,SRC-02,2,30.43,37.91,kWh,Energia Elétrica
EM-000287,20240917,S-003,SRC-02,1,81.88,71.44,kWh,Combustão Direta
EM-000288,20230925,S-001,SRC-02,3,110.47,231.64,kWh,Cadeia de Valor / Transporte
EM-000289,20230915,S-004,SRC-02,2,153.1,290.93,kWh,Energia Elétrica
EM-000290,20240206,S-001,SRC-04,2,96.95,190.52,kWh,Energia Elétrica
EM-000291,20230309,S-002,SRC-01,1,70.81,53.03,kWh,Combustão Direta
EM-000292,20230114,S-004,SRC-02,1,164.6,190.83,kWh,Combustão Direta
EM-000293,20230425,S-002,SRC-02,1,17.51,185.69,kWh,Combustão Direta
EM-000294,20230305,S-002,SRC-01,1,79.5,203.74,kWh,Combustão Direta
EM-000295,20240611,S-001,SRC-02,2,51.03,426.3,kWh,Energia Elétrica
EM-000296,20240723,S-004,SRC-04,3,43.86,290.07,kWh,Cadeia de Valor / Transporte
EM-000297,20240428,S-003,SRC-04,1,411.74,398.8,kWh,Combustão Direta
EM-000298,20230106,S-004,SRC-02,1,47.39,146.93,kWh,Combustão Direta
EM-000299,20230428,S-005,SRC-03,1,32.23,89.49,kWh,Combustão Direta
EM-000300,20240808,S-001,SRC-02,2,73.35,417.68,kWh,Energia Elétrica
EM-000301,20230415,S-005,SRC-04,1,44.97,358.77,kWh,Combustão Direta
EM-000302,20230104,S-002,SRC-03,2,39.33,319.76,kWh,Energia Elétrica
EM-000303,20241004,S-002,SRC-01,2,57.43,384.15,kWh,Energia Elétrica
EM-000304,20231106,S-004,SRC-04,3,322.09,70.59,kWh,Cadeia de Valor / Transporte
EM-000305,20240518,S-002,SRC-04,1,166.83,132.82,kWh,Combustão Direta
EM-000306,20230119,S-001,SRC-03,2,150.84,440.75,kWh,Energia Elétrica
EM-000307,20241113,S-001,SRC-01,2,22.94,32.69,kWh,Energia Elétrica
EM-000308,20240128,S-003,SRC-01,3,112.55,252.77,kWh,Cadeia de Valor / Transporte
EM-000309,20230303,S-004,SRC-01,3,172.92,170.0,kWh,Cadeia de Valor / Transporte
EM-000310,20240831,S-001,SRC-04,2,69.78,130.43,kWh,Energia Elétrica
EM-000311,20240816,S-003,SRC-04,2,288.34,221.37,kWh,Energia Elétrica
EM-000312,20230827,S-002,SRC-03,3,154.76,228.43,kWh,Cadeia de Valor / Transporte
EM-000313,20230215,S-001,SRC-01,3,24.04,235.21,kWh,Cadeia de Valor / Transporte
EM-000314,20241229,S-001,SRC-03,3,25.49,131.69,kWh,Cadeia de Valor / Transporte
EM-000315,20241019,S-002,SRC-01,2,135.07,24.55,kWh,Energia Elétrica
